City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-11-05 02:20:10,42.6001,-73.9662,37.81,82,45,3.42
1,Varhaug,NO,2021-11-05 02:17:15,58.6147,5.6457,44.89,77,99,20.22
2,Tiksi,RU,2021-11-05 02:22:30,71.6872,128.8694,4.41,72,79,25.5
3,Ushuaia,AR,2021-11-05 02:22:30,-54.8,-68.3,38.86,93,75,27.63
4,Atambua,ID,2021-11-05 02:17:15,-9.1061,124.8925,87.48,51,100,3.74
5,Mataura,NZ,2021-11-05 02:22:30,-46.1927,168.8643,59.49,38,100,4.38
6,Farmington,US,2021-11-05 02:15:32,36.7281,-108.2187,54.28,42,1,3.44
7,Muisne,EC,2021-11-05 02:17:16,0.6,-80.0333,75.02,86,100,5.37
8,Zhanjiang,CN,2021-11-05 02:17:16,21.2815,110.3427,82.31,71,1,10.42
9,Kassala,SD,2021-11-05 02:17:16,15.451,36.4,77.54,55,5,8.63
10,Korhogo,CI,2021-11-05 02:17:17,9.45,-5.6333,74.66,65,7,4.81
11,Hobart,AU,2021-11-05 02:12:43,-42.8794,147.3294,73.06,56,20,1.01
12,Fort Frances,CA,2021-11-05 02:17:17,48.5999,-93.4003,38.05,70,1,4.0
13,Hilo,US,2021-11-05 02:08:34,19.7297,-155.09,76.8,91,90,4.61
14,Sola,VU,2021-11-05 02:17:18,-13.8833,167.55,79.74,74,81,3.96
15,Sukhobezvodnoye,RU,2021-11-05 02:17:18,57.0491,44.8891,42.03,93,100,8.3
16,Pachmarhi,IN,2021-11-05 02:17:19,22.4667,78.4333,60.15,60,26,2.44
17,Qaanaaq,GL,2021-11-05 02:22:31,77.484,-69.3632,9.9,52,0,11.86
18,Naryan-Mar,RU,2021-11-05 02:14:22,67.6713,53.087,31.66,96,100,7.34
19,Rikitea,PF,2021-11-05 02:22:32,-23.1203,-134.9692,70.34,87,100,7.63
20,Halifax,CA,2021-11-05 02:12:29,44.6453,-63.5724,37.47,89,81,3.89
21,Castro,BR,2021-11-05 02:22:32,-24.7911,-50.0119,63.21,92,99,1.07
22,Beloha,MG,2021-11-05 02:17:19,-25.1667,45.05,64.85,81,0,5.97
23,Cape Town,ZA,2021-11-05 02:19:16,-33.9258,18.4232,61.21,86,75,1.99
24,Athlone,IE,2021-11-05 02:13:53,53.4333,-7.95,45.39,88,100,5.68
25,Bredasdorp,ZA,2021-11-05 02:22:32,-34.5322,20.0403,58.32,88,99,3.44
26,Nazare,BR,2021-11-05 02:17:20,-13.035,-39.0144,73.17,98,100,2.33
27,Havoysund,NO,2021-11-05 02:17:20,70.9963,24.6622,34.68,74,100,13.62
28,Jamestown,US,2021-11-05 02:22:33,42.097,-79.2353,35.19,97,75,1.01
29,Vaini,TO,2021-11-05 02:22:33,-21.2,-175.2,82.56,89,75,9.22
30,Ribeira Grande,PT,2021-11-05 02:22:33,38.5167,-28.7,69.21,87,100,26.8
31,Sitka,US,2021-11-05 02:12:43,57.0531,-135.33,42.69,81,90,0.0
32,Sisimiut,GL,2021-11-05 02:12:49,66.9395,-53.6735,24.67,70,67,12.26
33,Port Elizabeth,ZA,2021-11-05 02:12:35,-33.918,25.5701,54.1,83,79,5.88
34,Atuona,PF,2021-11-05 02:22:34,-9.8,-139.0333,78.15,65,4,13.71
35,Busselton,AU,2021-11-05 02:22:34,-33.65,115.3333,63.05,67,77,11.74
36,Ponta Do Sol,PT,2021-11-05 02:12:48,32.6667,-17.1,67.71,62,76,7.4
37,Punta Arenas,CL,2021-11-05 02:22:34,-53.15,-70.9167,42.91,70,0,23.02
38,Khatanga,RU,2021-11-05 02:12:38,71.9667,102.5,24.84,95,100,23.44
39,Cabo San Lucas,MX,2021-11-05 02:19:38,22.8909,-109.9124,75.15,66,17,4.12
40,Torbay,CA,2021-11-05 02:13:07,47.6666,-52.7314,40.68,81,55,5.01
41,Vanimo,PG,2021-11-05 02:12:59,-2.6741,141.3028,85.19,67,100,3.0
42,East London,ZA,2021-11-05 02:12:36,-33.0153,27.9116,64.67,82,66,3.47
43,Kaura Namoda,NG,2021-11-05 02:17:21,12.5898,6.5779,78.91,24,36,8.75
44,Flin Flon,CA,2021-11-05 02:15:07,54.7682,-101.865,33.75,82,94,2.95
45,Kholtoson,RU,2021-11-05 02:17:22,50.2981,103.3097,5.52,58,35,1.39
46,Olinda,BR,2021-11-05 02:22:35,-8.0089,-34.8553,80.33,78,40,5.75
47,Liaozhong,CN,2021-11-05 02:17:22,41.5061,122.7242,63.09,67,0,13.89
48,Thompson,CA,2021-11-05 02:13:11,55.7435,-97.8558,30.61,81,5,4.92
49,Humaita,BR,2021-11-05 02:17:22,-7.5061,-63.0208,75.04,91,92,3.09
50,Ponta Delgada,PT,2021-11-05 02:17:23,37.7333,-25.6667,68.72,77,75,18.41
51,Klaksvik,FO,2021-11-05 02:17:23,62.2266,-6.589,45.52,79,93,25.08
